전공,AIC2003,01,데이터사이언스개론,3,이우진,수,780,870,목,630,720
전공,AIC2010,01,수치해석및최적화,3,이우진,화,900,990,목,900,990
전공,AIC2011,01,AI콘텐츠융합개론,3,조경은,금,600,780
전공,AID2001,01,통계이론1,3,*,월,780,870,수,780,870
전공,ASW2004,01,어드벤처디자인,3,신연순,화,780,900,목,780,900
전공,ASW2004,02,어드벤처디자인,3,장혜령,월,600,720,수,600,720
전공,ASW2004,03,어드벤처디자인,3,조성인,화,810,990
전공,ASW2005,01,자료구조,3,*,수,600,720,금,600,720
전공,ASW2005,02,자료구조,3,*,화,600,720,목,600,720
전공,ASW2007,01,프로그래밍기초,3,박재철,수,1020,1130,목,1020,1130
전공,ASW2007,02,프로그래밍기초,3,한인,월,840,960,수,900,1020
전공,ASW2007,03,프로그래밍기초,3,김시명,수,1020,1130,목,600,720
전공,ASW2007,04,프로그래밍기초,3,강태선,화,900,1020,금,840,960
전공,ASW2009,01,객체지향프로그래밍,3,*,화,780,900,목,780,900
전공,ASW2009,02,객체지향프로그래밍,3,*,월,900,1020,목,1020,1130
전공,ASW2009,03,객체지향프로그래밍,3,박재철,*
전공,ASW2009,04,객체지향프로그래밍,3,*,화,960,1080,금,960,1080
전공,ASW2010,01,융합기초프로그래밍,3,성연식,월,600,720,목,900,1020
전공,ASW2010,02,융합기초프로그래밍,3,장혜령,화,900,1020,목,900,1020
전공,ASW2010,03,융합기초프로그래밍,3,*,월,900,1020,수,900,1020
전공,ASW4004,01,소프트웨어품질및안전성보증,3,*,*
전공,ASW4012,01,머신러닝,3,성연식,월,780,900,목,780,900
전공,ASW4012,02,머신러닝,3,김준태,수,900,1020,목,900,1020
전공,ASW4012,03,머신러닝,3,김준태,수,1020,1130,목,1020,1130
전공,ASW4016,01,컴퓨터보안,3,정준호,월,780,900,수,780,900
전공,ASW4016,02,컴퓨터보안,3,김영부,수,600,720,금,810,930
